id_i,id_j,len_i,len_j,score_raw,sss,identity,aligned_len,dataset,hog_id
MOUSE06048,MACMU00378,264,268,1101.0,0.7786421499292786,0.7908745247148289,263,amn,E0739117
MOUSE06048,GORGO24409,264,263,1120.0,0.7988587731811697,0.7946768060836502,263,amn,E0739117
MOUSE06048,HUMAN60060,264,263,1118.0,0.797432239657632,0.7908745247148289,263,amn,E0739117
MOUSE06048,PANTR26372,264,263,1116.0,0.7962896896182662,0.7908745247148289,263,amn,E0739117
MOUSE06048,BOVIN09874,264,261,1075.5,0.7690382552735073,0.7701149425287356,261,amn,E0739117
MOUSE06048,CANLF10494,264,268,1106.0,0.7841191066997518,0.779467680608365,263,amn,E0739117
MOUSE06048,MONDO19126,264,243,622.5,0.4623096917935388,0.5714285714285714,231,amn,E0739117
MOUSE06048,CHICK49058,264,262,730.5,0.5272464814146518,0.5859375,256,amn,E0739117
RATNO08029,MACMU00378,268,268,1002.5,0.7005590496156534,0.752895752895753,259,amn,E0739117
RATNO08029,GORGO24409,268,263,1014.0,0.7145877378435518,0.7606177606177607,259,amn,E0739117
RATNO08029,HUMAN60060,268,263,1012.0,0.7131782945736435,0.7567567567567568,259,amn,E0739117
RATNO08029,PANTR26372,268,263,1010.0,0.7120197391610856,0.7567567567567568,259,amn,E0739117
RATNO08029,BOVIN09874,268,261,960.5,0.6785588131402331,0.74609375,256,amn,E0739117
RATNO08029,CANLF10494,268,268,1007.5,0.7057793345008757,0.752895752895753,259,amn,E0739117
RATNO08029,MONDO19126,268,243,643.5,0.47194719471947194,0.5921052631578947,228,amn,E0739117
RATNO08029,CHICK49058,268,262,685.0,0.48841354723707664,0.5764705882352941,255,amn,E0739117
MACMU00378,GORGO24409,268,263,1346.0,0.957325746799431,0.9695817490494296,263,amn,E0739117
MACMU00378,HUMAN60060,268,263,1339.0,0.9523470839260313,0.9619771863117871,263,amn,E0739117
MACMU00378,PANTR26372,268,263,1333.0,0.9484169334756315,0.9581749049429658,263,amn,E0739117
MACMU00378,BOVIN09874,268,261,1204.5,0.8588235294117647,0.8735632183908046,261,amn,E0739117
MACMU00378,CANLF10494,268,268,1221.0,0.8632025450689289,0.8470149253731343,268,amn,E0739117
MACMU00378,MONDO19126,268,243,673.5,0.49870418363569047,0.6137339055793991,233,amn,E0739117
MACMU00378,CHICK49058,268,262,787.0,0.5663907880532566,0.6206896551724138,261,amn,E0739117
GORGO24409,HUMAN60060,263,263,1380.0,0.9899569583931134,0.9847908745247148,263,amn,E0739117
GORGO24409,PANTR26372,263,263,1374.0,0.9860064585575888,0.9809885931558935,263,amn,E0739117
GORGO24409,BOVIN09874,263,261,1213.5,0.8727076591154261,0.8735632183908046,261,amn,E0739117
GORGO24409,CANLF10494,263,268,1204.0,0.8584670231729056,0.8631178707224335,263,amn,E0739117
GORGO24409,MONDO19126,263,243,678.5,0.5069107209562944,0.5950413223140496,242,amn,E0739117
GORGO24409,CHICK49058,263,262,786.0,0.5705989110707804,0.6342412451361867,257,amn,E0739117
HUMAN60060,PANTR26372,263,263,1381.0,0.9910297811266595,0.9885931558935361,263,amn,E0739117
HUMAN60060,BOVIN09874,263,261,1213.5,0.8727076591154261,0.8697318007662835,261,amn,E0739117
HUMAN60060,CANLF10494,263,268,1204.0,0.8584670231729056,0.8593155893536122,263,amn,E0739117
HUMAN60060,MONDO19126,263,243,676.5,0.5054165110197982,0.5909090909090909,242,amn,E0739117
HUMAN60060,CHICK49058,263,262,778.5,0.5651542649727768,0.622568093385214,257,amn,E0739117
PANTR26372,BOVIN09874,263,261,1207.5,0.8687050359712231,0.8659003831417624,261,amn,E0739117
PANTR26372,CANLF10494,263,268,1198.0,0.854493580599144,0.8555133079847909,263,amn,E0739117
PANTR26372,MONDO19126,263,243,672.5,0.5026158445440957,0.5867768595041323,242,amn,E0739117
PANTR26372,CHICK49058,263,262,781.5,0.5675381263616558,0.6264591439688716,257,amn,E0739117
BOVIN09874,CANLF10494,261,268,1186.5,0.8481057898498928,0.8582375478927203,261,amn,E0739117
BOVIN09874,MONDO19126,261,243,681.5,0.5104868913857677,0.6293103448275862,232,amn,E0739117
BOVIN09874,CHICK49058,261,262,761.5,0.5542212518195051,0.603112840466926,257,amn,E0739117
CANLF10494,MONDO19126,268,243,673.0,0.49962880475129917,0.6260869565217392,230,amn,E0739117
CANLF10494,CHICK49058,268,262,775.0,0.5591630591630592,0.6130268199233716,261,amn,E0739117
MONDO19126,CHICK49058,243,262,672.0,0.5083207261724659,0.6118143459915611,237,amn,E0739117
MOUSE24080,RATNO14126,427,427,2266.0,0.9949506037321625,0.9929742388758782,427,amn,E0739363
MOUSE24080,MACMU38771,427,318,1400.0,0.7026348808030113,0.8888888888888888,315,amn,E0739363
MOUSE24080,GORGO35017,427,319,1395.0,0.6990729140566274,0.8825396825396825,315,amn,E0739363
MOUSE24080,HUMAN81502,427,428,2215.0,0.9712782284586713,0.9648711943793911,427,amn,E0739363
MOUSE24080,PANTR36448,427,319,1396.0,0.6995740415935856,0.8825396825396825,315,amn,E0739363
MOUSE24080,BOVIN33655,427,428,2214.0,0.9719051799824407,0.9672131147540983,427,amn,E0739363
MOUSE24080,CANLF06673,427,323,1401.5,0.7025062656641604,0.8785046728971962,321,amn,E0739363
MOUSE24080,MONDO08967,427,427,2147.0,0.9424934152765584,0.9436619718309859,426,amn,E0739363
MOUSE24080,CHICK46201,427,427,2036.0,0.8933742869679684,0.8894117647058823,425,amn,E0739363
RATNO14126,MACMU38771,427,318,1403.0,0.703963873557451,0.8920634920634921,315,amn,E0739363
RATNO14126,GORGO35017,427,319,1401.0,0.7019038076152304,0.8920634920634921,315,amn,E0739363
RATNO14126,HUMAN81502,427,428,2212.0,0.9697501096010521,0.9648711943793911,427,amn,E0739363
RATNO14126,PANTR36448,427,319,1402.0,0.7024048096192385,0.8920634920634921,315,amn,E0739363
RATNO14126,BOVIN33655,427,428,2211.0,0.9703752468729427,0.9672131147540983,427,amn,E0739363
RATNO14126,CANLF06673,427,323,1401.5,0.7023302430468554,0.8753894080996885,321,amn,E0739363
RATNO14126,MONDO08967,427,427,2146.0,0.9418477068246653,0.9436619718309859,426,amn,E0739363
RATNO14126,CHICK46201,427,427,2028.0,0.8896687870146962,0.8847058823529412,425,amn,E0739363
MACMU38771,GORGO35017,318,319,1666.0,0.9736995908825249,0.9811320754716981,318,amn,E0739363
MACMU38771,HUMAN81502,318,428,1429.5,0.716182364729459,0.9056603773584906,318,amn,E0739363
MACMU38771,PANTR36448,318,319,1666.0,0.9736995908825249,0.9811320754716981,318,amn,E0739363
MACMU38771,BOVIN33655,318,428,1410.5,0.7075495359919739,0.9015873015873016,315,amn,E0739363
MACMU38771,CANLF06673,318,323,1448.0,0.8465361005553932,0.8821656050955414,314,amn,E0739363
MACMU38771,MONDO08967,318,427,1364.0,0.6842237271131176,0.8666666666666667,315,amn,E0739363
MACMU38771,CHICK46201,318,427,1292.5,0.6480320882426673,0.8248407643312102,314,amn,E0739363
GORGO35017,HUMAN81502,319,428,1430.0,0.7153576788394197,0.9028213166144201,319,amn,E0739363
GORGO35017,PANTR36448,319,319,1710.0,0.9976662777129521,0.9968652037617555,319,amn,E0739363
GORGO35017,BOVIN33655,319,428,1404.0,0.7032306536438768,0.8952380952380953,315,amn,E0739363
GORGO35017,CANLF06673,319,323,1441.0,0.8409687773562883,0.8785942492012779,313,amn,E0739363
GORGO35017,MONDO08967,319,427,1368.5,0.6854495366892062,0.8885350318471338,314,amn,E0739363
GORGO35017,CHICK46201,319,427,1298.0,0.6498122653316646,0.8343949044585988,314,amn,E0739363
HUMAN81502,PANTR36448,428,319,1434.0,0.7173586793396698,0.9059561128526645,319,amn,E0739363
HUMAN81502,BOVIN33655,428,428,2256.0,0.9888231426692965,0.9836448598130841,428,amn,E0739363
HUMAN81502,CANLF06673,428,323,1421.0,0.7110332749562172,0.8909657320872274,321,amn,E0739363
HUMAN81502,MONDO08967,428,427,2184.0,0.9572649572649573,0.9647887323943662,426,amn,E0739363
HUMAN81502,CHICK46201,428,427,2070.0,0.9069003285870756,0.9014084507042254,426,amn,E0739363
PANTR36448,BOVIN33655,319,428,1408.0,0.7052341597796143,0.8984126984126984,315,amn,E0739363
PANTR36448,CANLF06673,319,323,1445.0,0.8433031806244529,0.8817891373801917,313,amn,E0739363
PANTR36448,MONDO08967,319,427,1372.5,0.6874530428249437,0.89171974522293,314,amn,E0739363
PANTR36448,CHICK46201,319,427,1301.0,0.651314142678348,0.8343949044585988,314,amn,E0739363
BOVIN33655,CANLF06673,428,323,1433.0,0.7179358717434869,0.9034267912772586,321,amn,E0739363
BOVIN33655,MONDO08967,428,427,2197.0,0.9640193067134708,0.9741784037558685,426,amn,E0739363
BOVIN33655,CHICK46201,428,427,2060.0,0.9035087719298246,0.8967136150234741,426,amn,E0739363
CANLF06673,MONDO08967,323,427,1389.0,0.6958917835671342,0.88125,320,amn,E0739363
CANLF06673,CHICK46201,323,427,1297.5,0.6497245868803205,0.815625,320,amn,E0739363
MONDO08967,CHICK46201,427,427,2102.0,0.9219298245614035,0.9039812646370023,427,amn,E0739363
MOUSE62960,RATNO39807,237,236,1173.0,0.9654320987654321,0.9745762711864406,236,amn,E0740208
MOUSE62960,MACMU10260,237,235,1071.0,0.8785890073831009,0.8851063829787233,235,amn,E0740208
MOUSE62960,GORGO03461,237,235,1061.0,0.8711001642036125,0.8765957446808511,235,amn,E0740208
MOUSE62960,HUMAN09648,237,235,1059.0,0.8683886838868389,0.8765957446808511,235,amn,E0740208
MOUSE62960,PANTR04460,237,235,1064.0,0.8724887248872488,0.8808510638297873,235,amn,E0740208
MOUSE62960,BOVIN06543,237,234,1020.0,0.8360655737704918,0.8376068376068376,234,amn,E0740208
MOUSE62960,CANLF15235,237,245,993.0,0.7966305655836342,0.8177966101694916,236,amn,E0740208
MOUSE62960,MONDO24838,237,235,917.5,0.7520491803278688,0.7606837606837606,234,amn,E0740208
MOUSE62960,CHICK58536,237,232,627.5,0.5177392739273927,0.589041095890411,219,amn,E0740208
RATNO39807,MACMU10260,236,235,1089.0,0.8962962962962963,0.8936170212765957,235,amn,E0740208
RATNO39807,GORGO03461,236,235,1078.0,0.8879736408566722,0.8851063829787233,235,amn,E0740208
RATNO39807,HUMAN09648,236,235,1076.0,0.8852324146441793,0.8851063829787233,235,amn,E0740208
RATNO39807,PANTR04460,236,235,1081.0,0.8893459481694775,0.8893617021276595,235,amn,E0740208
RATNO39807,BOVIN06543,236,234,1034.0,0.850328947368421,0.8418803418803419,234,amn,E0740208
RATNO39807,CANLF15235,236,245,995.0,0.8008048289738431,0.8297872340425532,235,amn,E0740208
RATNO39807,MONDO24838,236,235,923.5,0.7594572368421053,0.7564102564102564,234,amn,E0740208
RATNO39807,CHICK58536,236,232,635.5,0.5260761589403974,0.5733333333333334,225,amn,E0740208
MACMU10260,GORGO03461,235,235,1186.0,0.9737274220032841,0.9659574468085106,235,amn,E0740208
MACMU10260,HUMAN09648,235,235,1184.0,0.9708897088970889,0.9659574468085106,235,amn,E0740208
MACMU10260,PANTR04460,235,235,1197.0,0.981549815498155,0.9744680851063829,235,amn,E0740208
MACMU10260,BOVIN06543,235,234,1096.0,0.898360655737705,0.8846153846153846,234,amn,E0740208
MACMU10260,CANLF15235,235,245,1059.0,0.8495788206979543,0.8893617021276595,235,amn,E0740208
MACMU10260,MONDO24838,235,235,956.0,0.7836065573770492,0.774468085106383,235,amn,E0740208
MACMU10260,CHICK58536,235,232,628.5,0.5185643564356436,0.5619469026548672,226,amn,E0740208
GORGO03461,HUMAN09648,235,235,1209.0,0.9922035289290111,0.9914893617021276,235,amn,E0740208
GORGO03461,PANTR04460,235,235,1209.0,0.9922035289290111,0.9914893617021276,235,amn,E0740208
GORGO03461,BOVIN06543,235,234,1098.0,0.9007383100902379,0.8846153846153846,234,amn,E0740208
GORGO03461,CANLF15235,235,245,1041.0,0.8358089120835006,0.8723404255319149,235,amn,E0740208
GORGO03461,MONDO24838,235,235,955.0,0.7834290401968826,0.7854077253218884,233,amn,E0740208
GORGO03461,CHICK58536,235,232,621.0,0.5127993393889347,0.5172413793103449,232,amn,E0740208
HUMAN09648,PANTR04460,235,235,1207.0,0.989344262295082,0.9914893617021276,235,amn,E0740208
HUMAN09648,BOVIN06543,235,234,1096.0,0.8979926259729619,0.8846153846153846,234,amn,E0740208
HUMAN09648,CANLF15235,235,245,1039.0,0.8331996792301524,0.8723404255319149,235,amn,E0740208
HUMAN09648,MONDO24838,235,235,953.0,0.7808275297009423,0.7854077253218884,233,amn,E0740208
HUMAN09648,CHICK58536,235,232,623.0,0.5138144329896908,0.521551724137931,232,amn,E0740208
PANTR04460,BOVIN06543,235,234,1098.0,0.899631298648095,0.8888888888888888,234,amn,E0740208
PANTR04460,CANLF15235,235,245,1041.0,0.834803528468324,0.8765957446808511,235,amn,E0740208
PANTR04460,MONDO24838,235,235,955.0,0.7824662023760753,0.7896995708154506,233,amn,E0740208
PANTR04460,CHICK58536,235,232,621.0,0.5121649484536083,0.521551724137931,232,amn,E0740208
BOVIN06543,CANLF15235,234,245,1046.0,0.8384769539078156,0.8760683760683761,234,amn,E0740208
BOVIN06543,MONDO24838,234,235,960.0,0.7862407862407862,0.7931034482758621,232,amn,E0740208
BOVIN06543,CHICK58536,234,232,640.5,0.5280296784830998,0.5474137931034483,232,amn,E0740208
CANLF15235,MONDO24838,245,235,902.0,0.7230460921843688,0.7617021276595745,235,amn,E0740208
CANLF15235,CHICK58536,245,232,579.5,0.46752722872125857,0.5630630630630631,222,amn,E0740208
MONDO24838,CHICK58536,235,232,639.5,0.5272052761747733,0.5521739130434783,230,amn,E0740208
MOUSE61850,RATNO42039,158,158,794.0,1.0,1.0,158,amn,E0745662
MOUSE61850,MACMU41081,158,158,775.0,0.9748427672955975,0.9620253164556962,158,amn,E0745662
MOUSE61850,GORGO09686,158,158,775.0,0.9748427672955975,0.9620253164556962,158,amn,E0745662
MOUSE61850,HUMAN24214,158,158,770.0,0.9685534591194969,0.9556962025316456,158,amn,E0745662
MOUSE61850,PANTR10809,158,158,775.0,0.9748427672955975,0.9620253164556962,158,amn,E0745662
MOUSE61850,BOVIN16649,158,158,769.0,0.965473948524796,0.9556962025316456,158,amn,E0745662
MOUSE61850,CANLF12702,158,158,779.0,0.9804908747640025,0.9620253164556962,158,amn,E0745662
MOUSE61850,MONDO06665,158,158,721.0,0.9069182389937107,0.8670886075949367,158,amn,E0745662
MOUSE61850,CHICK40365,158,157,649.0,0.820480404551201,0.8089171974522293,157,amn,E0745662
RATNO42039,MACMU41081,158,158,775.0,0.9748427672955975,0.9620253164556962,158,amn,E0745662
RATNO42039,GORGO09686,158,158,775.0,0.9748427672955975,0.9620253164556962,158,amn,E0745662
RATNO42039,HUMAN24214,158,158,770.0,0.9685534591194969,0.9556962025316456,158,amn,E0745662
RATNO42039,PANTR10809,158,158,775.0,0.9748427672955975,0.9620253164556962,158,amn,E0745662
RATNO42039,BOVIN16649,158,158,769.0,0.965473948524796,0.9556962025316456,158,amn,E0745662
RATNO42039,CANLF12702,158,158,779.0,0.9804908747640025,0.9620253164556962,158,amn,E0745662
RATNO42039,MONDO06665,158,158,721.0,0.9069182389937107,0.8670886075949367,158,amn,E0745662
RATNO42039,CHICK40365,158,157,649.0,0.820480404551201,0.8089171974522293,157,amn,E0745662
MACMU41081,GORGO09686,158,158,796.0,1.0,1.0,158,amn,E0745662
MACMU41081,HUMAN24214,158,158,791.0,0.9937185929648241,0.9936708860759493,158,amn,E0745662
MACMU41081,PANTR10809,158,158,796.0,1.0,1.0,158,amn,E0745662
MACMU41081,BOVIN16649,158,158,784.0,0.9830721003134796,0.9746835443037974,158,amn,E0745662
MACMU41081,CANLF12702,158,158,781.0,0.9817724701445631,0.9746835443037974,158,amn,E0745662
MACMU41081,MONDO06665,158,158,732.0,0.9195979899497487,0.8924050632911392,158,amn,E0745662
MACMU41081,CHICK40365,158,157,651.0,0.821969696969697,0.8152866242038217,157,amn,E0745662
GORGO09686,HUMAN24214,158,158,791.0,0.9937185929648241,0.9936708860759493,158,amn,E0745662
GORGO09686,PANTR10809,158,158,796.0,1.0,1.0,158,amn,E0745662
GORGO09686,BOVIN16649,158,158,784.0,0.9830721003134796,0.9746835443037974,158,amn,E0745662
GORGO09686,CANLF12702,158,158,781.0,0.9817724701445631,0.9746835443037974,158,amn,E0745662
GORGO09686,MONDO06665,158,158,732.0,0.9195979899497487,0.8924050632911392,158,amn,E0745662
GORGO09686,CHICK40365,158,157,651.0,0.821969696969697,0.8152866242038217,157,amn,E0745662
HUMAN24214,PANTR10809,158,158,791.0,0.9937185929648241,0.9936708860759493,158,amn,E0745662
HUMAN24214,BOVIN16649,158,158,779.0,0.9768025078369906,0.9683544303797469,158,amn,E0745662
HUMAN24214,CANLF12702,158,158,776.0,0.9754871150219987,0.9683544303797469,158,amn,E0745662
HUMAN24214,MONDO06665,158,158,727.0,0.9133165829145728,0.8860759493670886,158,amn,E0745662
HUMAN24214,CHICK40365,158,157,646.0,0.8156565656565656,0.8089171974522293,157,amn,E0745662
PANTR10809,BOVIN16649,158,158,784.0,0.9830721003134796,0.9746835443037974,158,amn,E0745662
PANTR10809,CANLF12702,158,158,781.0,0.9817724701445631,0.9746835443037974,158,amn,E0745662
PANTR10809,MONDO06665,158,158,732.0,0.9195979899497487,0.8924050632911392,158,amn,E0745662
PANTR10809,CHICK40365,158,157,651.0,0.821969696969697,0.8152866242038217,157,amn,E0745662
BOVIN16649,CANLF12702,158,158,779.0,0.9774153074027604,0.9683544303797469,158,amn,E0745662
BOVIN16649,MONDO06665,158,158,720.0,0.9028213166144201,0.8670886075949367,158,amn,E0745662
BOVIN16649,CHICK40365,158,157,643.0,0.8103339634530561,0.7961783439490446,157,amn,E0745662
CANLF12702,MONDO06665,158,158,727.0,0.9138906348208674,0.879746835443038,158,amn,E0745662
CANLF12702,CHICK40365,158,157,643.0,0.8123815540113708,0.7961783439490446,157,amn,E0745662
MONDO06665,CHICK40365,158,157,677.0,0.8547979797979798,0.8535031847133758,157,amn,E0745662
MOUSE49457,RATNO32060,415,448,1847.0,0.8006068487212831,0.864406779661017,413,amn,E0736903
MOUSE49457,MACMU27865,415,420,1515.0,0.6827399729607931,0.689156626506024,415,amn,E0736903
MOUSE49457,GORGO27854,415,423,1449.0,0.6507972153604312,0.6862745098039216,408,amn,E0736903
MOUSE49457,HUMAN68155,415,420,1504.0,0.6779355420329051,0.689156626506024,415,amn,E0736903
MOUSE49457,PANTR30289,415,420,1513.0,0.6824537663509247,0.6939759036144578,415,amn,E0736903
MOUSE49457,BOVIN17452,415,434,1376.5,0.6058538732394366,0.648910411622276,413,amn,E0736903
MOUSE49457,CANLF07328,415,420,1402.5,0.6323264201983769,0.6409638554216868,415,amn,E0736903
MOUSE49457,MONDO29651,415,365,916.5,0.4391471011020604,0.5589887640449438,356,amn,E0736903
MOUSE49457,CHICK44862,415,424,906.5,0.4025310834813499,0.45925925925925926,405,amn,E0736903
RATNO32060,MACMU27865,448,420,1501.5,0.6494377162629758,0.6786570743405276,417,amn,E0736903
RATNO32060,GORGO27854,448,423,1418.0,0.6113386505712438,0.675609756097561,410,amn,E0736903
RATNO32060,HUMAN68155,448,420,1491.5,0.645252000865239,0.6786570743405276,417,amn,E0736903
RATNO32060,PANTR30289,448,420,1497.5,0.6482683982683982,0.6858513189448441,417,amn,E0736903
RATNO32060,BOVIN17452,448,434,1340.0,0.5665961945031712,0.6291866028708134,418,amn,E0736903
RATNO32060,CANLF07328,448,420,1415.0,0.6122890523582865,0.6474820143884892,417,amn,E0736903
RATNO32060,MONDO29651,448,365,908.5,0.41674311926605506,0.5698324022346368,358,amn,E0736903
RATNO32060,CHICK44862,448,424,840.5,0.35842217484008526,0.42788461538461536,416,amn,E0736903
MACMU27865,GORGO27854,420,423,1953.5,0.8754201209948466,0.8968824940047961,417,amn,E0736903
MACMU27865,HUMAN68155,420,420,2100.0,0.9444569372610749,0.9357142857142857,420,amn,E0736903
MACMU27865,PANTR30289,420,420,2083.0,0.9374437443744374,0.930952380952381,420,amn,E0736903
MACMU27865,BOVIN17452,420,434,1593.5,0.6998243302591128,0.7272727272727273,418,amn,E0736903
MACMU27865,CANLF07328,420,420,1616.0,0.7269455690508322,0.7238095238095238,420,amn,E0736903
MACMU27865,MONDO29651,420,365,965.5,0.4615200764818356,0.5626740947075209,359,amn,E0736903
MACMU27865,CHICK44862,420,424,880.5,0.39011962782454584,0.44226044226044225,407,amn,E0736903
GORGO27854,HUMAN68155,423,420,2053.5,0.9204392649036307,0.9493975903614458,415,amn,E0736903
GORGO27854,PANTR30289,423,420,2043.5,0.9165732226956717,0.946987951807229,415,amn,E0736903
GORGO27854,BOVIN17452,423,434,1551.5,0.6791420442109871,0.7389162561576355,406,amn,E0736903
GORGO27854,CANLF07328,423,420,1504.5,0.6745124411566913,0.7041564792176039,409,amn,E0736903
GORGO27854,MONDO29651,423,365,976.0,0.464872588711598,0.5924855491329479,346,amn,E0736903
GORGO27854,CHICK44862,423,424,863.0,0.38109958048134246,0.44254278728606355,409,amn,E0736903
HUMAN68155,PANTR30289,420,420,2189.0,0.9853702453297322,0.9833333333333333,420,amn,E0736903
HUMAN68155,BOVIN17452,420,434,1558.5,0.6846035580935647,0.7105263157894737,418,amn,E0736903
HUMAN68155,CANLF07328,420,420,1625.0,0.7311586051743532,0.7285714285714285,420,amn,E0736903
HUMAN68155,MONDO29651,420,365,962.5,0.4601960315562993,0.5626740947075209,359,amn,E0736903
HUMAN68155,CHICK44862,420,424,886.0,0.3926434744072679,0.44038929440389296,411,amn,E0736903
PANTR30289,BOVIN17452,420,434,1545.5,0.6793406593406593,0.7023809523809523,420,amn,E0736903
PANTR30289,CANLF07328,420,420,1615.0,0.7271499324628545,0.7285714285714285,420,amn,E0736903
PANTR30289,MONDO29651,420,365,969.5,0.4638755980861244,0.5828571428571429,350,amn,E0736903
PANTR30289,CHICK44862,420,424,899.0,0.398669623059867,0.44768856447688565,411,amn,E0736903
BOVIN17452,CANLF07328,434,420,1487.0,0.6533391915641477,0.6770334928229665,418,amn,E0736903
BOVIN17452,MONDO29651,434,365,920.0,0.4289044289044289,0.5681818181818182,352,amn,E0736903
BOVIN17452,CHICK44862,434,424,797.5,0.34523809523809523,0.4211822660098522,406,amn,E0736903
CANLF07328,MONDO29651,420,365,935.0,0.44715447154471544,0.5574229691876751,357,amn,E0736903
CANLF07328,CHICK44862,420,424,838.5,0.3716755319148936,0.41504854368932037,412,amn,E0736903
MONDO29651,CHICK44862,365,424,699.5,0.3291764705882353,0.49101796407185627,334,amn,E0736903
MOUSE44226,RATNO07819,172,172,890.0,0.9807162534435262,0.9709302325581395,172,amn,E0746040
MOUSE44226,MACMU36135,172,172,830.0,0.9146005509641874,0.8953488372093024,172,amn,E0746040
MOUSE44226,GORGO30712,172,172,833.0,0.918918918918919,0.9011627906976745,172,amn,E0746040
MOUSE44226,HUMAN75614,172,172,834.0,0.9200220628792057,0.9011627906976745,172,amn,E0746040
MOUSE44226,PANTR33948,172,172,833.0,0.918918918918919,0.9011627906976745,172,amn,E0746040
